file_id,score,groundtruth_path,reconstruction_path
1,0.1465563092463661,D:\010_CodePrograms\E\EIT_KTC2023\EvaluationData\GroundTruths\level_3\1_true.mat,D:\010_CodePrograms\E\EIT_KTC2023\Codes_Python\results\level3\1.mat
2,0.8738027765902525,D:\010_CodePrograms\E\EIT_KTC2023\EvaluationData\GroundTruths\level_3\2_true.mat,D:\010_CodePrograms\E\EIT_KTC2023\Codes_Python\results\level3\2.mat
3,0.5300412044459648,D:\010_CodePrograms\E\EIT_KTC2023\EvaluationData\GroundTruths\level_3\3_true.mat,D:\010_CodePrograms\E\EIT_KTC2023\Codes_Python\results\level3\3.mat
