level,file_count,average_score,std_score,min_score,max_score,total_score
level1,3,0.8501596111749642,0.07024512050919111,0.7548033654284153,0.9219614823239318,2.5504788335248927
level2,3,0.7146877783554025,0.057319245866757344,0.6342484140976159,0.7635893628364884,2.1440633350662077
level3,3,0.5168000967608611,0.29704472308120766,0.1465563092463661,0.8738027765902525,1.5504002902825835
level4,3,0.46984562682520387,0.0887649035038935,0.3444208760292798,0.5370620067656301,1.4095368804756117
level5,3,0.37671028564681436,0.17167099610755907,0.2291563034400769,0.6174521326571754,1.1301308569404431
level6,3,0.19304197213967297,0.06620261721158702,0.1201958833950145,0.2803989472895289,0.5791259164190189
level7,3,0.3088087265961008,0.2862851999631344,0.0269508147289551,0.7014436850709659,0.9264261797883024
Overall,21,0.49000772821414573,0.27653996758198257,0.0269508147289551,0.9219614823239318,10.29016229249706
